指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801180,房地产,2023-01-06 00:00:00.0,3181.03,3186.98,3107.29,3111.19,40.76,232.56,-1.19,3.5700,13.5600,0.9100,6.53,2.9800,6929.61,60.26,2.63
801180,房地产,2023-01-05 00:00:00.0,3144.20,3160.59,3114.05,3148.53,42.86,246.34,0.15,3.7500,13.7200,0.9200,6.60,3.1200,7012.79,60.98,2.60
801180,房地产,2023-01-04 00:00:00.0,3027.98,3164.38,3026.09,3143.92,52.72,310.28,3.81,4.6200,13.7000,0.9200,6.62,4.2400,7002.53,60.89,2.61
801180,房地产,2023-01-03 00:00:00.0,2998.62,3051.42,2991.59,3028.61,33.16,193.17,1.12,2.9000,13.2000,0.8800,6.42,2.6300,6746,58.66,2.71
801180,房地产,2022-12-30 00:00:00.0,2990.41,3003.31,2964.54,2995.12,31.42,169.49,0.43,2.7500,13.0500,0.8800,6.33,3.0000,6666.84,57.97,2.74
801180,房地产,2022-12-29 00:00:00.0,3045.39,3045.50,2974.18,2982.42,36.67,197.38,-2.51,3.2100,12.9900,0.8700,6.29,3.4400,6638.57,57.73,2.75
801180,房地产,2022-12-28 00:00:00.0,3041.97,3075.58,3019.41,3059.24,36.45,207.92,0.19,3.2000,13.3300,0.8900,6.46,3.4200,6809.58,59.21,2.68
801180,房地产,2022-12-27 00:00:00.0,3039.02,3088.53,3033.25,3053.45,35.82,211.31,0.73,3.1400,13.3000,0.8900,6.47,3.4100,6796.69,59.1,2.69
801180,房地产,2022-12-26 00:00:00.0,3071.26,3071.26,3023.32,3031.25,33.44,195.84,-1.59,2.9300,13.2000,0.8900,6.42,3.3800,6747.26,58.67,2.71
801180,房地产,2022-12-23 00:00:00.0,3055.18,3104.27,3055.18,3080.08,31.8,182.86,0.02,2.7900,13.4200,0.9000,6.46,3.3600,6855.96,59.62,2.66
801180,房地产,2022-12-22 00:00:00.0,3122.57,3146.14,3069.82,3079.45,40.57,222.58,-0.18,3.5600,13.4100,0.9000,6.48,3.5900,6854.56,59.6,2.66
801180,房地产,2022-12-21 00:00:00.0,3093.62,3125.59,3074.40,3085.15,37.61,208.53,-0.57,3.3000,13.4400,0.9000,6.47,3.8800,6867.24,59.72,2.64
801180,房地产,2022-12-20 00:00:00.0,3157.32,3158.11,3102.73,3102.73,46.32,267.58,-3.46,4.0600,13.5200,0.9100,6.52,4.4500,6906.27,60.05,2.63
801180,房地产,2022-12-19 00:00:00.0,3238.92,3297.24,3175.62,3213.98,55.88,323.51,-0.52,4.9000,14.0000,0.9400,6.82,4.5500,7153.89,62.21,2.54
801180,房地产,2022-12-16 00:00:00.0,3211.76,3268.60,3190.03,3230.79,55.95,308.82,1.32,4.9100,14.0700,0.9400,6.77,4.3500,7190.39,62.53,2.53
801180,房地产,2022-12-15 00:00:00.0,3165.99,3192.51,3116.83,3188.79,38.66,220.06,0.16,3.3900,13.8900,0.9300,6.70,3.0700,7095.67,61.7,2.56
801180,房地产,2022-12-14 00:00:00.0,3212.91,3220.55,3175.82,3183.83,36.58,193.24,-1.10,3.2100,13.8600,0.9300,6.64,2.5700,7084.62,61.61,2.56
801180,房地产,2022-12-13 00:00:00.0,3187.32,3235.76,3171.19,3219.13,42.12,221.48,0.82,3.7000,14.0200,0.9400,6.72,2.9100,7161.84,62.28,2.54
801180,房地产,2022-12-12 00:00:00.0,3270.37,3271.57,3190.26,3193.09,48.25,260.76,-3.62,4.2300,13.9000,0.9300,6.66,3.0900,7104.67,61.78,2.56
801180,房地产,2022-12-09 00:00:00.0,3243.28,3330.96,3243.28,3313.10,69.49,398.85,2.42,6.1000,14.4200,0.9700,6.86,4.3000,7371.7,64.1,2.46
801180,房地产,2022-12-08 00:00:00.0,3171.36,3253.34,3171.36,3234.78,55.79,297.11,1.89,4.8900,14.0800,0.9500,6.75,3.6500,7197.43,62.59,2.52
801180,房地产,2022-12-07 00:00:00.0,3206.41,3222.09,3143.24,3174.67,47.77,262.77,-1.84,4.1900,13.8200,0.9300,6.67,2.9500,7063.67,61.42,2.57
801180,房地产,2022-12-06 00:00:00.0,3233.76,3255.36,3204.47,3234.30,58.82,311.05,-0.64,5.1600,14.0800,0.9500,6.77,3.3300,7194.61,62.56,2.52
801180,房地产,2022-12-05 00:00:00.0,3251.67,3302.04,3250.70,3255.28,71.34,406.86,0.98,6.2600,14.1700,0.9500,6.83,4.1200,7240.13,62.96,2.51
801180,房地产,2022-12-02 00:00:00.0,3255.02,3255.02,3167.65,3223.73,73.14,409.01,-1.97,6.4200,14.0300,0.9400,6.77,5.1000,7170.3,62.35,2.53
801180,房地产,2022-12-01 00:00:00.0,3301.72,3334.07,3259.73,3288.58,102.56,513.59,-0.16,9.0000,14.3100,0.9600,6.89,5.1900,7314.79,63.61,2.48
801180,房地产,2022-11-30 00:00:00.0,3361.25,3439.93,3282.26,3293.73,122.77,631.38,-1.66,10.7800,14.3400,0.9600,6.89,7.2500,7326.24,63.71,2.48
801180,房地产,2022-11-29 00:00:00.0,3267.73,3359.36,3207.12,3349.29,103.18,533.81,7.96,9.0600,14.5800,0.9800,6.93,5.9000,7450.97,64.79,2.44
801180,房地产,2022-11-28 00:00:00.0,3048.43,3108.13,3025.68,3102.41,58.71,291.95,-0.44,5.1500,13.5000,0.9100,6.48,4.1400,6901.75,60.02,2.63
801180,房地产,2022-11-25 00:00:00.0,2989.88,3124.95,2989.88,3116.08,73.16,382.45,4.68,6.4200,13.5600,0.9100,6.48,5.5700,6932.16,60.28,2.62
801180,房地产,2022-11-24 00:00:00.0,2979.27,2996.98,2940.11,2976.83,50.74,258.11,1.85,4.4600,12.9500,0.8700,6.27,3.7400,6621.55,57.58,2.74
801180,房地产,2022-11-23 00:00:00.0,2909.52,2936.96,2900.78,2922.63,26.95,133.95,-0.16,2.3700,12.7200,0.8500,6.15,1.7500,6499.82,56.52,2.79
801180,房地产,2022-11-22 00:00:00.0,2974.29,2999.41,2913.90,2927.40,37.59,198.3,-0.67,3.3000,12.7400,0.8600,6.17,2.4300,6510.43,56.61,2.79
801180,房地产,2022-11-21 00:00:00.0,2944.68,2947.87,2880.18,2947.05,38.05,196.71,-0.61,3.3500,12.8200,0.8600,6.25,2.5100,6551.7,56.97,2.77
801180,房地产,2022-11-18 00:00:00.0,2995.85,3005.18,2958.61,2965.16,43.08,222.3,-0.97,3.7900,12.9000,0.8700,6.31,2.4600,6591.95,57.32,2.75
801180,房地产,2022-11-17 00:00:00.0,2977.46,3014.53,2961.06,2994.21,46,235.88,0.27,4.0400,13.0200,0.8800,6.38,2.8000,6656.54,57.88,2.73
801180,房地产,2022-11-16 00:00:00.0,3030.47,3036.63,2968.68,2986.22,59.06,304.82,-1.95,5.1900,12.9900,0.8700,6.34,3.4900,6638.6,57.73,2.74
801180,房地产,2022-11-15 00:00:00.0,3010.15,3079.79,2990.64,3045.49,71.26,369.68,0.85,6.2700,13.2500,0.8900,6.42,3.7900,6770.36,58.87,2.68
801180,房地产,2022-11-14 00:00:00.0,3066.10,3077.14,2982.51,3019.81,87.77,432.33,2.08,7.7300,13.1300,0.8800,6.31,4.3500,6711.85,58.36,2.71
801180,房地产,2022-11-11 00:00:00.0,2834.28,2987.18,2834.28,2958.24,80.8,385.77,6.79,7.1100,12.8600,0.8700,6.21,3.4100,6575,57.17,2.76
801180,房地产,2022-11-10 00:00:00.0,2750.07,2784.78,2720.54,2770.02,40.84,180.33,0.03,3.6000,12.0300,0.8100,5.89,2.3400,6132.12,53.32,2.95
801180,房地产,2022-11-09 00:00:00.0,2755.12,2826.87,2755.12,2769.17,43.61,220.5,1.73,3.8500,12.0200,0.8100,5.89,3.0800,6130.24,53.31,2.95
801180,房地产,2022-11-08 00:00:00.0,2713.79,2748.68,2702.93,2722.19,27.8,152.15,0.31,2.4500,11.8200,0.8000,5.82,1.9900,6026.24,52.4,3.00
801180,房地产,2022-11-07 00:00:00.0,2677.11,2719.63,2672.39,2713.88,30.59,141.45,1.14,2.7000,11.7800,0.7900,5.80,1.5400,6007.86,52.24,3.01
801180,房地产,2022-11-04 00:00:00.0,2619.14,2696.36,2619.00,2683.42,28.99,148.36,2.37,2.5600,11.6500,0.7800,5.71,1.5000,5937.91,51.63,3.05
801180,房地产,2022-11-03 00:00:00.0,2627.28,2653.80,2610.01,2621.38,24.36,125.53,-1.13,2.1500,11.3800,0.7700,5.61,1.5700,5799.44,50.43,3.12
801180,房地产,2022-11-02 00:00:00.0,2590.76,2665.67,2585.21,2651.28,29.69,149.82,1.61,2.6400,11.4900,0.7700,5.62,1.5600,5855.67,50.92,3.09
801180,房地产,2022-11-01 00:00:00.0,2576.83,2609.16,2536.55,2609.16,30.25,165.89,1.24,2.6900,11.3100,0.7600,5.54,1.8500,5762.64,50.11,3.14
801180,房地产,2022-10-31 00:00:00.0,2627.99,2627.99,2546.80,2577.31,32.92,173.15,-3.37,2.9300,10.6100,0.7500,5.45,2.1700,5691.13,49.49,3.18
801180,房地产,2022-10-28 00:00:00.0,2751.74,2751.79,2662.49,2667.16,32.11,141.8,-3.53,2.8500,10.9800,0.7800,5.48,1.7000,5889.53,51.21,3.07
801180,房地产,2022-10-27 00:00:00.0,2742.34,2787.67,2742.34,2764.80,26.56,135.58,0.91,2.3600,11.3800,0.8100,5.70,1.6100,6105.05,53.09,2.96
801180,房地产,2022-10-26 00:00:00.0,2776.78,2786.05,2729.57,2739.91,27.02,151.81,-1.22,2.4000,11.2800,0.8000,5.63,1.8200,6050.1,52.61,2.99
801180,房地产,2022-10-25 00:00:00.0,2795.44,2806.97,2755.18,2773.82,26.39,126.98,-1.11,2.3500,11.4200,0.8100,5.61,1.7300,6124.97,53.26,2.95
801180,房地产,2022-10-24 00:00:00.0,2883.37,2886.79,2798.11,2804.87,35.27,169.26,-3.42,3.1400,11.5400,0.8200,5.70,2.0900,6193.52,53.86,2.92
801180,房地产,2022-10-21 00:00:00.0,2920.62,2952.94,2894.18,2904.12,31.53,155.49,0.27,2.8000,11.9500,0.8400,5.88,2.4000,6412.68,55.76,2.82
801180,房地产,2022-10-20 00:00:00.0,2906.89,2922.19,2884.44,2896.27,27.3,128.17,-0.84,2.4300,11.9200,0.8400,5.88,1.7700,6395.35,55.61,2.83
801180,房地产,2022-10-19 00:00:00.0,2929.58,2965.44,2920.88,2920.88,29.18,144.53,-0.56,2.5900,12.0200,0.8500,5.94,2.0800,6449.69,56.08,2.80
801180,房地产,2022-10-18 00:00:00.0,2971.52,2990.56,2918.47,2937.29,31.68,152.51,-1.13,2.8200,12.0900,0.8500,5.98,2.1000,6485.93,56.4,2.79
801180,房地产,2022-10-17 00:00:00.0,2945.80,2972.04,2885.73,2970.77,33.59,167.73,0.00,3.0000,12.2100,0.8600,6.01,2.2900,6552.86,56.98,2.76
801180,房地产,2022-10-14 00:00:00.0,2967.21,3035.75,2960.80,2970.88,32.91,165.51,0.22,2.9400,12.2100,0.8600,5.96,2.1000,6553.05,56.98,2.76
801180,房地产,2022-10-13 00:00:00.0,2994.93,2994.98,2916.56,2964.38,32.55,166.58,-1.83,2.9000,12.1900,0.8600,5.89,2.4900,6538.72,56.86,2.77
801180,房地产,2022-10-12 00:00:00.0,2958.62,3019.53,2940.39,3019.53,32.65,152.72,1.94,2.9100,12.4100,0.8800,5.97,2.3400,6660.36,57.92,2.72
