指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801200,商贸零售,2023-01-06 00:00:00.0,2898.70,2898.78,2862.29,2874.35,24.13,184.46,-1.14,4.2000,39.3900,2.3700,12.76,2.3700,5426.85,52.18,1.13
801200,商贸零售,2023-01-05 00:00:00.0,2876.54,2911.35,2845.94,2907.57,28.38,242.03,1.55,4.9400,39.8500,2.4000,12.95,3.0700,5489.57,52.78,1.12
801200,商贸零售,2023-01-04 00:00:00.0,2843.24,2866.99,2840.96,2863.16,28.39,209.55,0.40,4.9400,39.2400,2.3600,12.87,2.8700,5405.72,51.98,1.13
801200,商贸零售,2023-01-03 00:00:00.0,2866.25,2872.66,2836.73,2851.84,34.78,254.37,-0.52,6.0500,39.0700,2.3500,12.84,3.4600,5383.51,51.76,1.14
801200,商贸零售,2022-12-30 00:00:00.0,2852.87,2873.52,2838.06,2866.74,34.48,241.75,1.14,6.0000,39.2700,2.3600,12.81,4.2800,5411.55,52.03,1.13
801200,商贸零售,2022-12-29 00:00:00.0,2820.44,2852.13,2807.01,2834.53,29.34,201.31,-0.18,5.1100,38.8400,2.3300,12.56,3.5000,5349.56,51.44,1.15
801200,商贸零售,2022-12-28 00:00:00.0,2843.26,2855.02,2834.41,2839.71,26.86,188.74,-0.60,4.6800,38.9000,2.3400,12.55,3.1000,5359.33,51.53,1.14
801200,商贸零售,2022-12-27 00:00:00.0,2853.88,2871.83,2820.78,2856.81,27.29,195.15,0.60,4.7500,39.1300,2.3500,12.67,3.1400,5391.61,51.84,1.14
801200,商贸零售,2022-12-26 00:00:00.0,2855.13,2903.44,2835.05,2839.85,20.25,173.32,-0.51,3.5200,38.9000,2.3400,12.58,3.0000,5359,51.53,1.14
801200,商贸零售,2022-12-23 00:00:00.0,2857.16,2884.15,2836.69,2854.51,22.65,167.98,-0.74,3.9400,39.1100,2.3500,12.52,3.0900,5386.77,51.8,1.14
801200,商贸零售,2022-12-22 00:00:00.0,2864.15,2916.72,2849.21,2875.67,26.29,203.97,0.81,4.5800,39.3900,2.3700,12.67,3.2900,5426.67,52.18,1.13
801200,商贸零售,2022-12-21 00:00:00.0,2835.36,2864.66,2827.67,2852.69,27.36,183.54,0.99,4.7600,39.0800,2.3500,12.65,3.4100,5383.3,51.76,1.14
801200,商贸零售,2022-12-20 00:00:00.0,2845.96,2852.36,2815.05,2824.73,23.68,175.45,-1.55,4.1200,38.7000,2.3300,12.54,2.9200,5330.52,51.26,1.15
801200,商贸零售,2022-12-19 00:00:00.0,2919.39,2927.13,2860.36,2869.31,24.98,178.24,-2.52,4.3500,39.3100,2.3600,12.73,2.5100,5415.91,52.08,1.13
801200,商贸零售,2022-12-16 00:00:00.0,2934.96,2953.10,2910.17,2943.51,26.9,188.58,-0.44,4.6800,40.3300,2.4200,13.06,2.6600,5555.97,53.42,1.10
801200,商贸零售,2022-12-15 00:00:00.0,2990.90,3001.87,2946.15,2956.60,32.82,228.85,-0.57,5.7100,40.4400,2.4300,13.17,3.1900,5570.16,53.56,1.10
801200,商贸零售,2022-12-14 00:00:00.0,2921.31,2986.41,2921.31,2973.43,36.87,250.67,1.71,6.4200,40.6400,2.4500,13.22,3.3300,5599.46,53.84,1.10
801200,商贸零售,2022-12-13 00:00:00.0,2919.79,2951.92,2914.10,2923.52,26.7,209.21,-0.02,4.6500,39.9600,2.4000,13.05,2.7400,5502.4,52.91,1.11
801200,商贸零售,2022-12-12 00:00:00.0,2924.23,2950.01,2920.99,2924.07,26.17,209.11,-0.75,4.5600,39.9800,2.4000,12.95,2.4800,5503.44,52.92,1.11
801200,商贸零售,2022-12-09 00:00:00.0,2965.24,2965.30,2903.27,2946.08,33.84,265.76,-0.95,5.9000,40.2900,2.4200,13.09,2.8600,5544.67,53.31,1.11
801200,商贸零售,2022-12-08 00:00:00.0,2960.58,2990.08,2946.09,2974.25,46.36,307.79,0.73,8.0800,40.6800,2.4500,13.22,3.7800,5597.79,53.82,1.10
801200,商贸零售,2022-12-07 00:00:00.0,2932.36,2985.95,2924.80,2952.62,34.13,279.93,1.52,5.9500,40.3800,2.4300,13.03,3.1400,5556.44,53.43,1.10
801200,商贸零售,2022-12-06 00:00:00.0,2841.81,2941.06,2841.81,2908.47,26.76,232.04,2.40,4.6600,39.7800,2.3900,12.86,2.4900,5474.11,52.64,1.12
801200,商贸零售,2022-12-05 00:00:00.0,2832.24,2868.74,2826.11,2840.23,18.62,186.82,1.61,3.2500,38.8400,2.3400,12.63,1.8900,5345.67,51.4,1.15
801200,商贸零售,2022-12-02 00:00:00.0,2822.39,2835.74,2786.59,2795.22,18.25,170.38,-1.10,3.1800,38.2000,2.3000,12.52,2.1200,5260.96,50.59,1.17
801200,商贸零售,2022-12-01 00:00:00.0,2855.02,2865.68,2814.30,2826.17,21.7,210.81,2.12,3.7800,38.6500,2.3200,12.61,2.1300,5316.67,51.12,1.15
801200,商贸零售,2022-11-30 00:00:00.0,2741.63,2767.40,2734.15,2767.40,17.6,161.66,0.84,3.0700,37.8600,2.2800,12.37,1.8600,5206.11,50.06,1.18
801200,商贸零售,2022-11-29 00:00:00.0,2658.95,2746.12,2658.91,2744.35,17.82,176.58,3.74,3.1100,37.5600,2.2600,12.32,1.9500,5162.76,49.64,1.19
801200,商贸零售,2022-11-28 00:00:00.0,2576.63,2645.93,2562.75,2645.46,14.87,132,0.57,2.5900,36.2100,2.1800,11.98,1.8700,4976.72,47.85,1.23
801200,商贸零售,2022-11-25 00:00:00.0,2631.51,2641.35,2622.05,2630.35,14.32,101.77,-0.43,2.5000,35.9900,2.1600,12.06,1.4800,4948.29,47.58,1.24
801200,商贸零售,2022-11-24 00:00:00.0,2664.49,2665.79,2635.06,2641.72,13.57,79.77,-0.31,2.3700,36.1600,2.1700,12.17,1.1500,4966.6,47.76,1.24
801200,商贸零售,2022-11-23 00:00:00.0,2661.08,2664.81,2633.46,2649.81,17.54,95.17,-0.89,3.0600,36.2300,2.1800,12.16,1.2400,4978,47.87,1.23
801200,商贸零售,2022-11-22 00:00:00.0,2689.41,2710.95,2666.39,2673.68,18.92,109.29,-0.49,3.3100,36.5700,2.2000,12.30,1.3400,5022.84,48.3,1.22
801200,商贸零售,2022-11-21 00:00:00.0,2704.74,2704.74,2656.02,2686.89,16.56,114.47,-1.57,2.8900,36.7300,2.2100,12.37,1.4600,5046.46,48.52,1.22
801200,商贸零售,2022-11-18 00:00:00.0,2745.31,2758.98,2729.63,2729.63,23.16,125.71,-0.55,4.0500,37.3100,2.2400,12.52,1.3900,5126.42,49.29,1.20
