指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801210,社会服务,2023-01-06 00:00:00.0,10893.13,10894.17,10661.20,10690.64,16.38,159,-2.05,7.9500,118.9700,3.5700,17.18,2.0400,2510.24,34.39,0.28
801210,社会服务,2023-01-05 00:00:00.0,10801.92,10982.65,10713.09,10914.58,19.37,176.7,0.46,9.4100,121.6500,3.6500,17.51,2.2400,2557.6,35.04,0.27
801210,社会服务,2023-01-04 00:00:00.0,10700.08,10887.22,10700.08,10864.79,17.8,171.89,1.32,8.6600,120.9200,3.6300,17.47,2.3500,2542.67,34.83,0.27
801210,社会服务,2023-01-03 00:00:00.0,10751.52,10768.83,10618.11,10722.73,17.38,163.53,-0.67,8.4500,119.3200,3.5800,17.27,2.2300,2509.42,34.38,0.28
801210,社会服务,2022-12-30 00:00:00.0,10649.87,10839.53,10594.24,10794.71,19.48,209.81,0.95,9.4700,120.1500,3.6100,17.32,3.7100,2526,34.6,0.28
801210,社会服务,2022-12-29 00:00:00.0,10742.91,10891.33,10659.58,10693.06,19.22,211.93,-1.19,9.3500,118.9600,3.5800,17.10,3.6900,2502.21,34.28,0.28
801210,社会服务,2022-12-28 00:00:00.0,10800.05,10924.89,10723.90,10821.68,21.95,219.43,-0.41,10.6800,120.3800,3.6200,17.27,3.6100,2531.49,34.68,0.28
801210,社会服务,2022-12-27 00:00:00.0,10947.84,10947.84,10682.81,10865.70,22.45,224.9,-0.21,10.9300,120.8200,3.6300,17.32,3.6200,2541.42,34.81,0.27
801210,社会服务,2022-12-26 00:00:00.0,10658.59,11034.05,10642.56,10888.68,21.91,212.04,1.92,10.6600,121.0700,3.6300,17.31,3.6600,2546.79,34.89,0.27
801210,社会服务,2022-12-23 00:00:00.0,10547.05,10835.49,10547.05,10684.05,22.91,206.59,0.94,11.1500,118.8300,3.5700,16.91,3.7900,2498.93,34.23,0.28
801210,社会服务,2022-12-22 00:00:00.0,10618.00,10756.48,10560.14,10584.90,19.12,184.45,0.17,9.3100,117.7100,3.5300,16.82,2.9800,2475.74,33.91,0.28
801210,社会服务,2022-12-21 00:00:00.0,10426.24,10611.98,10425.91,10567.04,13.57,128.9,1.59,6.6000,117.4100,3.5300,16.98,2.4000,2471.56,33.86,0.28
801210,社会服务,2022-12-20 00:00:00.0,10603.01,10603.13,10379.16,10402.07,15.23,141,-2.53,7.4100,115.5600,3.4700,16.78,2.3400,2432.98,33.33,0.28
801210,社会服务,2022-12-19 00:00:00.0,10717.66,10793.03,10610.71,10671.77,19.66,177.72,-0.87,9.5700,118.5900,3.5600,17.15,2.5000,2496.06,34.19,0.28
801210,社会服务,2022-12-16 00:00:00.0,10672.62,10796.15,10672.62,10765.34,17.02,161.21,0.37,8.3100,119.4500,3.5900,17.36,2.2700,2514.7,34.45,0.27
801210,社会服务,2022-12-15 00:00:00.0,10853.70,10864.53,10701.86,10725.57,14.84,153.71,-1.04,7.2400,118.9600,3.5800,17.42,2.1500,2505.41,34.32,0.27
801210,社会服务,2022-12-14 00:00:00.0,10612.75,10887.41,10598.75,10837.94,16.24,171.64,2.03,7.9300,120.1700,3.6200,17.61,2.2800,2531.65,34.68,0.27
801210,社会服务,2022-12-13 00:00:00.0,10444.88,10736.57,10444.88,10622.76,14.52,157.24,1.30,7.0900,117.7700,3.5500,17.14,2.0600,2481.15,33.99,0.28
801210,社会服务,2022-12-12 00:00:00.0,10413.99,10527.93,10413.99,10486.49,12.81,131.21,0.26,6.2600,116.2600,3.5000,17.06,1.5600,2448.71,33.54,0.28
801210,社会服务,2022-12-09 00:00:00.0,10515.15,10528.06,10332.47,10459.55,15.75,152.78,-1.15,7.6900,116.0100,3.4900,17.02,1.6500,2442.42,33.46,0.28
801210,社会服务,2022-12-08 00:00:00.0,10468.87,10629.90,10348.93,10581.32,17.81,175.78,0.71,8.7000,117.3300,3.5300,17.28,2.1600,2469.18,33.82,0.28
801210,社会服务,2022-12-07 00:00:00.0,10297.26,10617.76,10293.65,10506.21,17.2,172.99,1.54,8.4100,116.4500,3.5000,17.26,1.9400,2451.65,33.58,0.28
801210,社会服务,2022-12-06 00:00:00.0,10303.47,10502.61,10287.34,10346.82,15.96,154.23,0.50,7.8000,114.6600,3.4500,16.93,1.6500,2414.46,33.07,0.28
801210,社会服务,2022-12-05 00:00:00.0,10392.34,10392.34,10252.43,10294.94,14.94,145.33,0.30,7.3000,114.0700,3.4300,16.91,1.4700,2402.35,32.91,0.29
801210,社会服务,2022-12-02 00:00:00.0,10145.67,10335.44,10145.67,10263.88,16.29,151.16,0.98,7.9600,113.6900,3.4200,16.97,1.8800,2395.09,32.81,0.29
801210,社会服务,2022-12-01 00:00:00.0,10369.76,10369.76,10117.05,10163.77,19.41,192.13,0.24,9.4900,112.5600,3.3800,16.77,1.9400,2371.29,32.48,0.29
801210,社会服务,2022-11-30 00:00:00.0,10056.22,10139.93,9932.75,10139.93,17.67,166.6,0.45,8.6400,112.2100,3.3700,16.71,1.9100,2365.73,32.41,0.29
801210,社会服务,2022-11-29 00:00:00.0,9592.70,10138.73,9592.70,10094.90,18.31,174.88,4.75,8.9500,111.6700,3.3600,16.68,1.9300,2355.22,32.26,0.29
801210,社会服务,2022-11-28 00:00:00.0,9307.06,9636.76,9295.74,9636.76,12.89,113.26,1.86,6.3000,106.5700,3.2000,15.94,1.6100,2247.8,30.79,0.31
801210,社会服务,2022-11-25 00:00:00.0,9477.32,9501.78,9416.46,9460.83,9.7,80.95,-0.22,4.7400,104.6700,3.1400,15.69,1.1800,2206.76,30.23,0.31
801210,社会服务,2022-11-24 00:00:00.0,9547.16,9606.65,9465.40,9481.69,10.68,87.67,-0.78,5.2200,104.9300,3.1500,15.75,1.2700,2210.93,30.29,0.31
801210,社会服务,2022-11-23 00:00:00.0,9695.02,9695.41,9478.16,9556.43,12.29,97.79,-1.88,6.0100,105.7900,3.1800,15.78,1.2800,2228.16,30.52,0.31
