指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801110,家用电器,2023-01-06 00:00:00.0,6801.35,6820.53,6766.75,6775.97,7.23,111.71,-0.41,1.7700,13.9400,2.4900,20.11,1.4300,7602.16,96.23,3.42
801110,家用电器,2023-01-05 00:00:00.0,6687.21,6804.02,6683.35,6804.02,8.19,131.69,2.26,2.0100,14.0000,2.5100,19.90,1.6700,7648.81,96.82,3.40
801110,家用电器,2023-01-04 00:00:00.0,6514.81,6673.65,6504.72,6653.56,8.67,125.17,2.18,2.1200,13.6900,2.4500,19.50,1.7100,7479.67,94.68,3.47
801110,家用电器,2023-01-03 00:00:00.0,6499.33,6529.22,6441.20,6511.72,7.53,102.4,0.40,1.8400,13.3900,2.4000,19.32,1.3900,7320.22,92.66,3.55
801110,家用电器,2022-12-30 00:00:00.0,6498.14,6540.28,6482.44,6485.78,5.97,74.6,0.12,1.4600,13.3400,2.3900,19.17,1.3200,7291.06,92.29,3.56
801110,家用电器,2022-12-29 00:00:00.0,6518.11,6518.17,6460.37,6478.19,7.31,86.07,-0.81,1.7900,13.3300,2.3900,19.13,1.5000,7282.52,92.18,3.57
801110,家用电器,2022-12-28 00:00:00.0,6585.47,6585.54,6516.12,6530.82,6.99,87.91,-1.31,1.7100,13.4300,2.4100,19.27,1.4400,7341.69,92.93,3.54
801110,家用电器,2022-12-27 00:00:00.0,6531.62,6617.69,6506.07,6617.69,7.16,87.39,1.70,1.7500,13.6100,2.4400,19.50,1.4100,7439.34,94.17,3.49
801110,家用电器,2022-12-26 00:00:00.0,6553.72,6562.98,6497.77,6507.01,7.58,84.51,-0.35,1.8500,13.3800,2.4000,19.36,1.4600,7314.91,92.59,3.55
801110,家用电器,2022-12-23 00:00:00.0,6531.30,6596.02,6509.58,6530.19,6.81,75.93,-0.48,1.6700,13.4300,2.4000,18.94,1.3900,7340.96,92.92,3.54
801110,家用电器,2022-12-22 00:00:00.0,6568.24,6647.54,6545.06,6561.48,7.23,85.14,0.44,1.7700,13.5000,2.4200,19.14,1.3700,7375.1,93.36,3.52
801110,家用电器,2022-12-21 00:00:00.0,6533.09,6600.04,6521.65,6532.47,6.89,75.05,-0.07,1.7300,13.3900,2.4100,19.49,1.3900,7319.56,93.84,3.55
801110,家用电器,2022-12-20 00:00:00.0,6625.00,6625.00,6518.23,6537.13,6.75,85.98,-2.05,1.6700,13.4300,2.4100,19.51,1.4300,7340.91,92.92,3.54
801110,家用电器,2022-12-19 00:00:00.0,6743.26,6774.96,6647.05,6674.06,7.7,90.97,-1.06,1.9000,13.7100,2.4600,19.52,1.2800,7494.67,94.87,3.47
