指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801980,美容护理,2023-01-06 00:00:00.0,7232.03,7232.05,7130.88,7155.48,2.93,45.89,-1.31,5.8800,43.7600,5.3300,51.01,0.5900,1503.48,53.7,0.48
801980,美容护理,2023-01-05 00:00:00.0,7102.33,7334.04,7093.40,7250.78,2.91,57.64,2.09,5.8500,44.3400,5.4000,51.55,0.7300,1523.5,54.41,0.47
801980,美容护理,2023-01-04 00:00:00.0,7082.94,7180.31,7052.00,7102.39,3.36,55.72,0.05,6.7500,43.4100,5.2800,50.44,0.7600,1492.32,53.3,0.48
801980,美容护理,2023-01-03 00:00:00.0,7140.94,7184.46,6973.12,7098.78,3.52,68.75,-0.74,7.0600,43.4300,5.2800,50.40,0.9400,1491.57,53.27,0.48
801980,美容护理,2022-12-30 00:00:00.0,7157.72,7165.74,7059.18,7151.56,3.53,48.21,0.19,7.2700,44.0800,5.4200,50.82,0.8500,1492.9,53.32,0.48
801980,美容护理,2022-12-29 00:00:00.0,7057.58,7184.66,7042.91,7138.25,3.64,51.07,0.58,7.5100,44.0100,5.4100,50.59,0.8900,1490.12,53.22,0.48
801980,美容护理,2022-12-28 00:00:00.0,7103.17,7138.63,7068.18,7096.79,3.99,57.16,-0.62,8.2200,43.7100,5.3800,50.37,0.9400,1481.47,52.91,0.49
801980,美容护理,2022-12-27 00:00:00.0,6888.08,7160.34,6864.91,7140.83,4.71,70.72,4.10,9.7000,43.9900,5.4100,50.74,1.1400,1490.66,53.24,0.48
801980,美容护理,2022-12-26 00:00:00.0,6876.85,6943.78,6823.35,6859.45,2.87,42.69,-0.36,5.9200,42.2100,5.1900,48.76,0.7400,1431.86,51.14,0.50
801980,美容护理,2022-12-23 00:00:00.0,6915.64,6964.05,6844.62,6884.24,3.49,51.71,-0.68,7.1800,42.3600,5.2100,49.07,0.9500,1437.04,51.32,0.50
801980,美容护理,2022-12-22 00:00:00.0,6693.16,7001.68,6660.88,6931.57,4.61,70.14,4.11,9.5000,42.6300,5.2500,49.45,1.1300,1446.91,51.68,0.50
801980,美容护理,2022-12-21 00:00:00.0,6650.01,6709.09,6609.16,6658.06,2.63,33.35,0.67,5.4100,40.9500,5.0400,47.70,0.6200,1389.82,49.64,0.52
801980,美容护理,2022-12-20 00:00:00.0,6768.39,6768.39,6594.63,6613.96,2.65,34.74,-2.37,5.5000,41.2300,5.0700,47.39,0.5800,1358.64,48.52,0.53
801980,美容护理,2022-12-19 00:00:00.0,6884.11,6925.49,6748.13,6774.46,3.56,42.72,-1.79,7.3800,42.2400,5.2000,48.35,0.6000,1391.61,49.7,0.52
