指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801080,电子,2023-01-06 00:00:00.0,3546.25,3589.84,3538.30,3562.02,38.79,587.72,0.10,2.2900,29.2700,2.6500,25.13,7.5400,21654.57,70.54,1.00
801080,电子,2023-01-05 00:00:00.0,3519.72,3567.70,3509.23,3558.60,34.23,536.98,1.32,2.0200,29.2500,2.6500,24.97,6.8000,21633.76,70.47,1.00
801080,电子,2023-01-04 00:00:00.0,3551.35,3568.34,3488.22,3512.10,34.69,537.12,-1.20,2.0400,28.8600,2.6100,24.68,7.3500,21350.54,69.55,1.01
801080,电子,2023-01-03 00:00:00.0,3485.13,3558.54,3459.68,3554.59,28.85,423.92,1.95,1.7000,29.2200,2.6400,24.85,5.7700,21606.85,70.38,1.00
801080,电子,2022-12-30 00:00:00.0,3516.86,3523.38,3481.14,3486.70,20.91,314.04,-0.31,1.2300,28.6600,2.5900,24.16,5.5600,21184.21,69.23,1.02
801080,电子,2022-12-29 00:00:00.0,3502.00,3534.80,3492.60,3497.57,20.75,319.24,-0.36,1.2200,28.7500,2.6000,24.24,5.5600,21253.86,69.46,1.02
801080,电子,2022-12-28 00:00:00.0,3549.20,3551.66,3508.17,3510.18,21.75,340.03,-1.42,1.2800,28.8500,2.6100,24.35,5.5900,21326.24,69.69,1.01
801080,电子,2022-12-27 00:00:00.0,3537.09,3564.90,3515.97,3560.57,23.79,382.03,0.88,1.4000,29.2600,2.6500,24.72,6.1600,21631.6,70.69,1.00
801080,电子,2022-12-26 00:00:00.0,3441.90,3534.17,3441.86,3529.66,24.91,405.89,2.56,1.5000,28.8700,2.6300,24.55,7.0200,21336.45,69.96,1.01
801080,电子,2022-12-23 00:00:00.0,3461.05,3477.59,3418.79,3441.72,23.93,373.46,-1.29,1.4400,28.1500,2.5600,23.75,6.8600,20804.67,68.21,1.04
801080,电子,2022-12-22 00:00:00.0,3535.88,3543.39,3477.30,3486.78,26.35,402.95,-1.08,1.5700,28.5800,2.5900,24.07,6.5000,21131.64,69.06,1.02
801080,电子,2022-12-21 00:00:00.0,3564.57,3581.57,3506.70,3524.68,27.42,412.22,-1.26,1.6500,28.7900,2.6100,24.51,7.6600,21314.65,69.66,1.01
801080,电子,2022-12-20 00:00:00.0,3557.52,3602.47,3551.77,3569.49,27.99,435.25,0.08,1.6800,29.1500,2.6400,24.94,7.2400,21584.98,70.54,1.00
801080,电子,2022-12-19 00:00:00.0,3642.01,3653.24,3555.88,3566.77,34.1,487.72,-2.44,2.0500,29.1100,2.6300,24.81,6.8600,21568.51,70.49,1.00
801080,电子,2022-12-16 00:00:00.0,3689.68,3707.96,3643.63,3655.81,36.07,568.63,-1.63,2.1700,29.8400,2.7000,25.37,8.0100,22107.71,72.25,0.98
801080,电子,2022-12-15 00:00:00.0,3640.15,3739.31,3637.48,3716.55,41.44,696.86,1.71,2.4900,30.3200,2.7400,26.01,9.7300,22475,73.45,0.96
801080,电子,2022-12-14 00:00:00.0,3724.41,3731.28,3650.64,3654.22,39.08,699.33,-0.10,2.3500,29.8100,2.7000,25.54,9.3000,22097.75,72.21,0.98
801080,电子,2022-12-13 00:00:00.0,3714.54,3714.61,3656.56,3658.03,28.84,479.21,-1.77,1.7300,29.8500,2.7000,25.43,6.2900,22120.78,72.29,0.98
801080,电子,2022-12-12 00:00:00.0,3657.51,3743.16,3637.84,3723.89,36.26,632.24,1.46,2.1800,30.3900,2.7500,25.94,7.5000,22543.65,73.67,0.96
801080,电子,2022-12-09 00:00:00.0,3655.53,3684.96,3645.57,3670.25,33.44,531.68,0.55,2.0100,29.9500,2.7100,25.63,5.7300,22219.12,72.61,0.97
801080,电子,2022-12-08 00:00:00.0,3692.25,3692.27,3646.04,3650.30,30.44,455.7,-1.33,1.8300,29.7800,2.6900,25.55,5.6000,22104.56,72.24,0.98
801080,电子,2022-12-07 00:00:00.0,3718.58,3721.54,3689.48,3699.35,35.81,549.05,-0.88,2.1500,30.1800,2.7300,25.81,6.1600,22401.06,73.21,0.96
801080,电子,2022-12-06 00:00:00.0,3669.80,3754.78,3667.02,3732.04,41.25,685.6,1.44,2.4800,30.4400,2.7500,26.01,7.3500,22590.97,73.83,0.96
801080,电子,2022-12-05 00:00:00.0,3676.63,3689.21,3648.76,3679.06,39.75,572.4,0.26,2.3900,30.0100,2.7200,25.69,5.7900,22269.71,72.78,0.97
801080,电子,2022-12-02 00:00:00.0,3673.92,3716.12,3667.45,3669.62,32.58,469.1,-0.53,1.9500,29.9300,2.7100,25.74,5.8500,22213.15,72.59,0.97
801080,电子,2022-12-01 00:00:00.0,3688.73,3726.40,3682.81,3689.22,39.51,607.31,1.06,2.3700,30.1000,2.7200,25.73,6.1400,22331.77,72.98,0.97
801080,电子,2022-11-30 00:00:00.0,3649.67,3673.47,3630.82,3650.41,40.15,513.69,-0.18,2.4100,29.7800,2.6900,25.42,5.9000,22096.44,72.21,0.98
801080,电子,2022-11-29 00:00:00.0,3606.89,3667.86,3595.41,3657.17,35.87,511.46,1.57,2.1500,29.8300,2.7000,25.47,5.6500,22134.06,72.33,0.98
801080,电子,2022-11-28 00:00:00.0,3581.63,3607.39,3577.34,3600.68,29.8,439.59,-1.12,1.7900,29.3600,2.6600,25.17,6.2400,21790.79,71.21,0.99
801080,电子,2022-11-25 00:00:00.0,3675.58,3707.85,3641.20,3641.41,28.45,456.01,-1.10,1.7100,29.6800,2.6900,25.42,6.6400,22021.06,71.96,0.98
801080,电子,2022-11-24 00:00:00.0,3714.74,3730.50,3676.40,3681.74,31.48,461.53,-0.67,1.8900,30.0000,2.7200,25.83,6.6800,22264.31,72.76,0.97
801080,电子,2022-11-23 00:00:00.0,3730.79,3745.27,3646.15,3706.49,39.18,579.2,-0.92,2.3500,30.2200,2.7400,25.81,7.5800,22413.09,73.25,0.96
801080,电子,2022-11-22 00:00:00.0,3770.03,3806.19,3726.87,3740.72,42.06,624.92,-0.91,2.5300,30.4900,2.7600,26.11,7.6500,22611.99,73.9,0.95
801080,电子,2022-11-21 00:00:00.0,3749.68,3775.38,3723.10,3774.90,36.7,572.31,-0.05,2.2000,30.7600,2.7800,26.46,7.2900,22817,74.57,0.95
801080,电子,2022-11-18 00:00:00.0,3837.39,3860.07,3773.64,3776.66,44.79,761.45,-1.98,2.6900,30.7800,2.7900,26.35,8.4200,22827.28,74.6,0.95
801080,电子,2022-11-17 00:00:00.0,3792.26,3852.81,3739.78,3852.81,47.3,843.63,1.17,2.8400,31.4000,2.8400,26.90,10.0300,23287.54,76.1,0.92
801080,电子,2022-11-16 00:00:00.0,3853.08,3853.08,3794.39,3808.33,52.05,838.99,-1.06,3.1300,31.0400,2.8100,26.49,9.6100,23017.97,75.22,0.93
801080,电子,2022-11-15 00:00:00.0,3640.62,3849.29,3637.67,3849.29,65.17,1071.28,5.51,3.9200,31.3800,2.8400,26.79,10.9900,23259.23,76.26,0.92
801080,电子,2022-11-14 00:00:00.0,3643.59,3705.16,3632.87,3648.39,39.08,640.31,-0.06,2.3500,29.7300,2.6900,25.46,6.4400,22045.31,72.28,0.98
801080,电子,2022-11-11 00:00:00.0,3702.91,3718.27,3649.89,3650.59,50.93,826.48,1.07,3.0600,29.7200,2.6900,25.59,7.3000,22054.42,72.31,0.97
801080,电子,2022-11-10 00:00:00.0,3672.57,3690.62,3598.91,3611.80,39.92,649.73,-2.54,2.4000,29.4000,2.6600,25.47,8.4500,21819.62,71.54,0.99
801080,电子,2022-11-09 00:00:00.0,3733.98,3748.61,3696.34,3705.82,37.36,562.62,-0.75,2.2500,30.1700,2.7300,26.09,7.8500,22384.53,73.39,0.96
801080,电子,2022-11-08 00:00:00.0,3773.54,3774.64,3712.06,3733.98,42.78,614.69,-1.04,2.5700,30.4000,2.7500,26.27,8.0300,22554.62,73.95,0.95
801080,电子,2022-11-07 00:00:00.0,3776.13,3805.57,3748.28,3773.18,50.63,800.54,0.23,3.0500,30.7200,2.7800,26.57,8.7000,22774.29,74.92,0.94
801080,电子,2022-11-04 00:00:00.0,3705.36,3774.45,3698.91,3764.49,49.48,824.85,1.52,2.9700,30.7000,2.7800,26.47,8.3300,22891.82,75.8,0.94
801080,电子,2022-11-03 00:00:00.0,3620.01,3715.18,3620.00,3708.24,48.95,809.37,1.41,2.9400,30.2200,2.7400,26.14,10.1100,22532.91,74.61,0.95
801080,电子,2022-11-02 00:00:00.0,3641.78,3689.05,3641.18,3656.79,50.29,794.36,1.25,3.0200,29.7900,2.7000,25.62,8.2700,22206.32,73.53,0.97
801080,电子,2022-11-01 00:00:00.0,3537.68,3611.77,3520.03,3611.77,43.07,672.92,2.14,2.5900,29.4400,2.6700,25.26,7.5200,21934.31,72.63,0.98
801080,电子,2022-10-31 00:00:00.0,3447.16,3570.15,3447.12,3536.00,45.15,695.58,1.77,2.7200,25.5200,2.6200,24.86,8.7100,21367.92,70.75,1.01
801080,电子,2022-10-28 00:00:00.0,3556.87,3606.64,3462.60,3474.34,44.88,714.27,-3.12,2.7000,25.0700,2.5700,24.35,8.5900,20995.29,69.52,1.02
801080,电子,2022-10-27 00:00:00.0,3605.47,3635.42,3573.49,3586.33,44.24,700.59,-0.48,2.6600,25.8800,2.6700,25.06,8.3100,21672.35,71.76,0.99
801080,电子,2022-10-26 00:00:00.0,3519.84,3625.64,3509.64,3603.67,41.13,659.88,2.49,2.4800,26.0000,2.7100,25.30,7.9200,21777.26,72.11,0.99
801080,电子,2022-10-25 00:00:00.0,3522.12,3563.52,3478.56,3516.04,36.46,549.7,-0.67,2.1900,25.3700,2.6500,24.63,7.4800,21247.69,70.36,1.01
801080,电子,2022-10-24 00:00:00.0,3562.53,3644.18,3512.43,3539.68,41.07,627.75,-0.49,2.4700,25.5400,2.6700,24.75,7.7500,21390.35,70.83,1.01
801080,电子,2022-10-21 00:00:00.0,3592.08,3592.12,3531.83,3557.03,36.75,544.71,-1.22,2.2100,25.7100,2.6800,24.83,8.4100,21500.48,71.19,1.00
801080,电子,2022-10-20 00:00:00.0,3512.64,3644.83,3482.39,3600.84,42.26,664.22,1.97,2.5400,26.0300,2.7200,25.02,9.1900,21766.94,72.08,0.99
801080,电子,2022-10-19 00:00:00.0,3546.57,3582.64,3531.39,3531.39,30.85,461.1,-0.75,1.8600,25.5200,2.6600,24.60,6.6300,21342.93,70.67,1.01
801080,电子,2022-10-18 00:00:00.0,3588.01,3588.01,3527.66,3557.92,33.92,483.3,-0.33,2.0400,25.7000,2.6900,24.68,6.6500,21494.32,71.17,1.00
801080,电子,2022-10-17 00:00:00.0,3471.21,3576.11,3471.21,3569.69,37.01,535.15,2.21,2.2300,25.7800,2.7000,24.59,7.3100,21559.45,71.63,1.00
801080,电子,2022-10-14 00:00:00.0,3444.27,3500.39,3412.75,3492.56,35.22,526.72,2.43,2.1200,25.2200,2.6400,24.08,6.6900,21090.76,70.07,1.02
801080,电子,2022-10-13 00:00:00.0,3384.38,3449.22,3382.57,3409.74,32.7,487.72,0.13,1.9700,24.6200,2.5700,23.55,7.2800,20586.84,68.39,1.05
801080,电子,2022-10-12 00:00:00.0,3260.27,3406.33,3248.58,3405.48,39.22,548.46,4.41,2.3800,24.5300,2.5900,23.40,8.3900,20500.24,68.33,1.05
801080,电子,2022-10-11 00:00:00.0,3275.11,3279.80,3244.42,3261.49,22.28,377.68,-0.36,1.3500,23.4900,2.4800,22.39,7.2700,19618.89,65.84,1.10
801080,电子,2022-10-10 00:00:00.0,3412.26,3412.26,3270.27,3273.34,26.29,426.78,-4.30,1.6000,23.5800,2.4900,22.49,7.3900,19689.46,66.07,1.09
801080,电子,2022-09-30 00:00:00.0,3485.96,3499.34,3420.24,3420.42,23.2,346.94,-2.09,1.4100,24.6400,2.6000,23.42,6.6800,20564.83,69.24,1.05
801080,电子,2022-09-29 00:00:00.0,3541.64,3547.45,3477.88,3493.43,25.57,377.76,-0.34,1.5600,25.1600,2.6600,24.10,6.5300,21001.99,70.71,1.02
801080,电子,2022-09-28 00:00:00.0,3611.99,3612.01,3505.43,3505.43,26.41,401.44,-3.25,1.6100,25.2500,2.6700,23.89,6.6800,21061.77,71.15,1.02
801080,电子,2022-09-27 00:00:00.0,3560.95,3623.33,3560.92,3623.33,27.77,427.29,2.04,1.7000,26.2900,2.7700,24.63,6.9200,21722.29,73.63,0.99
801080,电子,2022-09-26 00:00:00.0,3538.88,3605.52,3538.88,3550.87,26.52,412.74,-0.59,1.6300,25.7600,2.7200,24.15,6.6700,21277.18,72.13,1.01
801080,电子,2022-09-23 00:00:00.0,3656.34,3668.21,3543.27,3571.77,28.45,465.91,-2.39,1.7500,25.9100,2.7300,24.18,7.5400,21403.73,72.56,1.00
801080,电子,2022-09-22 00:00:00.0,3654.82,3702.01,3651.16,3659.28,25.67,429.45,-0.72,1.5800,26.5400,2.8000,24.96,7.2400,21922.44,74.31,0.98
801080,电子,2022-09-21 00:00:00.0,3701.00,3705.55,3642.52,3685.98,28.18,455.48,-0.90,1.7300,26.7300,2.8200,25.01,7.6900,22067.94,74.81,0.98
801080,电子,2022-09-20 00:00:00.0,3734.68,3750.31,3695.16,3719.32,26.92,449.37,0.18,1.6500,26.9700,2.8400,25.25,7.4200,22259.8,75.46,0.97
801080,电子,2022-09-19 00:00:00.0,3760.51,3790.44,3696.47,3712.60,30.39,481.15,-1.45,1.8700,26.9200,2.8400,24.99,7.8400,22208.93,75.28,0.97
801080,电子,2022-09-16 00:00:00.0,3814.47,3851.57,3767.31,3767.31,33.04,504.65,-1.67,2.0300,27.3200,2.8800,25.35,6.7600,22541.46,76.41,0.96
801080,电子,2022-09-15 00:00:00.0,3962.02,3962.06,3787.43,3831.48,41.1,640.03,-3.02,2.5300,27.7900,2.9300,25.45,7.4800,22910.52,77.93,0.94
