指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801710,建筑材料,2023-01-06 00:00:00.0,6327.76,6393.71,6323.03,6338.84,7.9,95.82,0.59,2.2100,14.6300,1.6700,14.40,1.2300,4491.59,60.7,3.10
801710,建筑材料,2023-01-05 00:00:00.0,6236.95,6306.22,6220.74,6301.73,6.6,77.99,1.21,1.8400,14.5400,1.6600,14.30,0.9900,4465.3,60.34,3.12
801710,建筑材料,2023-01-04 00:00:00.0,6076.81,6264.97,6069.90,6226.68,8.32,97.97,2.40,2.3300,14.3700,1.6400,14.11,1.3400,4412.12,59.62,3.16
801710,建筑材料,2023-01-03 00:00:00.0,6029.48,6086.57,5986.82,6080.48,6.81,70.22,0.79,1.9000,14.0300,1.6000,13.81,0.9600,4308.53,58.22,3.23
801710,建筑材料,2022-12-30 00:00:00.0,5994.12,6046.16,5993.58,6032.67,6.21,65.09,0.89,1.7400,13.9200,1.5800,13.70,1.1500,4270.7,57.71,3.26
801710,建筑材料,2022-12-29 00:00:00.0,6058.00,6058.40,5964.76,5979.37,6.35,69.88,-1.48,1.7700,13.7900,1.5700,13.59,1.2200,4232.96,57.2,3.29
801710,建筑材料,2022-12-28 00:00:00.0,6123.91,6123.92,6037.05,6069.37,5.6,62.05,-1.03,1.5600,14.0000,1.5900,13.74,1.0200,4296.68,58.06,3.24
801710,建筑材料,2022-12-27 00:00:00.0,6107.09,6150.91,6091.40,6132.36,6.31,64.56,0.88,1.7600,14.1500,1.6100,13.90,1.0400,4341.27,58.67,3.21
801710,建筑材料,2022-12-26 00:00:00.0,6103.07,6108.78,6050.19,6078.83,5.6,56.78,-0.29,1.5700,14.0200,1.6000,13.84,0.9800,4303.37,58.15,3.23
801710,建筑材料,2022-12-23 00:00:00.0,6102.11,6170.62,6071.36,6096.52,5.3,55.39,-0.76,1.4800,14.0600,1.6000,13.75,1.0200,4315.89,58.32,3.23
801710,建筑材料,2022-12-22 00:00:00.0,6194.94,6278.67,6124.74,6143.30,7.36,80.39,-0.19,2.0600,14.1700,1.6100,13.88,1.3000,4349.01,58.77,3.20
801710,建筑材料,2022-12-21 00:00:00.0,6119.92,6189.20,6119.87,6154.82,6.11,67.68,0.60,1.7100,14.2000,1.6200,14.05,1.2600,4357.16,58.88,3.19
801710,建筑材料,2022-12-20 00:00:00.0,6200.94,6202.13,6080.19,6117.85,6.94,76.26,-1.91,1.9400,14.1100,1.6100,14.08,1.2700,4330.99,58.53,3.21
801710,建筑材料,2022-12-19 00:00:00.0,6365.38,6434.74,6202.84,6236.80,10.22,103.18,-1.99,2.8600,14.3900,1.6400,14.30,1.4500,4415.2,59.66,3.15
801710,建筑材料,2022-12-16 00:00:00.0,6254.33,6435.27,6252.54,6363.12,11.11,114.58,1.54,3.1100,14.6800,1.6700,14.55,1.6100,4504.63,60.87,3.09
