指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801880,汽车,2023-01-06 00:00:00.0,5488.56,5586.66,5488.56,5552.36,26.17,354.41,1.15,2.5100,32.1800,2.1800,18.68,4.5500,12622.8,52.6,1.17
801880,汽车,2023-01-05 00:00:00.0,5422.60,5518.22,5412.70,5488.97,25.46,329.38,1.91,2.4400,31.8100,2.1600,18.41,4.1700,12478.7,51.99,1.18
801880,汽车,2023-01-04 00:00:00.0,5396.15,5403.49,5352.14,5385.99,20.57,246.35,-0.57,1.9700,31.2100,2.1200,18.03,3.3700,12249.45,51.04,1.21
801880,汽车,2023-01-03 00:00:00.0,5330.24,5424.68,5291.88,5416.62,24.09,278.23,1.38,2.3100,31.3900,2.1300,18.11,3.7900,12316.3,51.32,1.20
801880,汽车,2022-12-30 00:00:00.0,5356.86,5409.09,5336.37,5342.91,19.74,228.09,0.72,1.8900,30.9600,2.1000,17.71,4.0400,12143.84,50.6,1.22
801880,汽车,2022-12-29 00:00:00.0,5307.29,5382.23,5294.53,5304.86,19.49,219.64,-0.19,1.8700,30.7400,2.0800,17.64,3.8200,12056.63,50.24,1.23
801880,汽车,2022-12-28 00:00:00.0,5415.21,5415.37,5308.89,5314.79,20.38,250.82,-2.67,1.9500,30.7900,2.0900,17.68,4.1200,12078.47,50.33,1.22
801880,汽车,2022-12-27 00:00:00.0,5464.49,5470.52,5392.40,5460.33,19.09,219.42,0.09,1.8300,31.6700,2.1500,18.13,3.5400,12407.56,51.7,1.19
801880,汽车,2022-12-26 00:00:00.0,5297.19,5458.07,5297.19,5455.46,19.9,243.64,2.85,1.9100,31.6400,2.1400,18.12,4.2100,12400.52,51.67,1.19
801880,汽车,2022-12-23 00:00:00.0,5371.51,5371.55,5270.03,5304.32,20.37,238.76,-1.98,1.9500,30.7600,2.0900,17.49,4.3900,12052.52,50.22,1.23
801880,汽车,2022-12-22 00:00:00.0,5477.09,5507.38,5397.95,5411.67,23.27,266.2,-0.64,2.2300,31.3900,2.1300,17.83,4.3000,12297.51,51.24,1.20
801880,汽车,2022-12-21 00:00:00.0,5525.15,5525.52,5427.28,5446.62,21.69,244.37,-1.54,2.0800,31.5900,2.1400,18.05,4.5400,12370.87,51.76,1.19
801880,汽车,2022-12-20 00:00:00.0,5525.88,5538.95,5483.22,5531.73,25.56,296.99,-0.36,2.4500,32.0700,2.1700,18.42,4.9400,12564.17,52.57,1.17
801880,汽车,2022-12-19 00:00:00.0,5607.92,5695.23,5536.26,5551.92,27.6,323.69,-0.79,2.6500,32.2500,2.1800,18.28,4.5500,12602.66,52.73,1.17
801880,汽车,2022-12-16 00:00:00.0,5656.10,5676.26,5573.62,5596.39,22.34,264.75,-1.67,2.1400,32.5000,2.2000,18.43,3.7300,12703.61,53.15,1.16
801880,汽车,2022-12-15 00:00:00.0,5563.68,5696.14,5546.67,5691.42,28.07,342.31,2.37,2.6900,33.0500,2.2400,18.88,4.7800,12916.09,54.04,1.14
801880,汽车,2022-12-14 00:00:00.0,5574.45,5599.61,5543.48,5559.73,20.09,240.02,-0.53,1.9300,32.2900,2.1900,18.36,3.1900,12617.23,52.79,1.17
801880,汽车,2022-12-13 00:00:00.0,5635.70,5683.03,5585.55,5589.26,22.57,264.49,-0.75,2.1600,32.4500,2.2000,18.42,3.4700,12680.7,53.06,1.16
801880,汽车,2022-12-12 00:00:00.0,5676.74,5676.74,5622.38,5631.56,22.93,270.76,-1.26,2.2000,32.7000,2.2100,18.69,3.2100,12775.46,53.45,1.16
801880,汽车,2022-12-09 00:00:00.0,5720.93,5734.14,5675.73,5703.49,23.62,290.9,-0.34,2.2700,33.2900,2.2500,18.75,3.1300,12895.24,53.96,1.14
801880,汽车,2022-12-08 00:00:00.0,5730.43,5764.67,5705.85,5722.76,25.52,296.99,-0.40,2.4600,33.4000,2.2600,18.90,3.6500,12937.89,54.13,1.14
801880,汽车,2022-12-07 00:00:00.0,5716.65,5818.33,5716.65,5745.88,31.39,398,0.27,3.0200,33.5400,2.2600,18.94,4.4600,12990.17,54.35,1.14
801880,汽车,2022-12-06 00:00:00.0,5664.97,5762.88,5629.19,5730.24,34.19,402.34,0.61,3.2900,33.4300,2.2600,18.95,4.3100,12943.48,54.38,1.14
801880,汽车,2022-12-05 00:00:00.0,5709.72,5732.34,5671.22,5695.23,31.78,367.07,0.49,3.0600,33.2100,2.2400,18.90,3.7100,12858.81,54.03,1.15
801880,汽车,2022-12-02 00:00:00.0,5727.71,5734.29,5661.73,5667.28,29.57,351.32,-1.36,2.8500,33.0500,2.2300,18.91,4.3800,12795.7,53.76,1.15
801880,汽车,2022-12-01 00:00:00.0,5804.26,5832.86,5745.01,5745.41,43.67,580.59,0.62,4.2100,33.5100,2.2600,19.08,5.8700,12969.29,54.49,1.14
801880,汽车,2022-11-30 00:00:00.0,5503.52,5731.71,5493.57,5710.00,48.5,600.12,3.73,4.6800,33.3000,2.2500,18.99,6.9000,12887.5,54.15,1.14
801880,汽车,2022-11-29 00:00:00.0,5436.60,5514.40,5418.90,5504.87,26.16,304.96,1.36,2.5200,32.1000,2.1700,18.44,3.3700,12425.22,52.21,1.19
801880,汽车,2022-11-28 00:00:00.0,5380.38,5431.44,5339.58,5431.27,23.36,249.4,-0.52,2.2500,31.6800,2.1400,18.32,3.5400,12257.95,51.5,1.20
801880,汽车,2022-11-25 00:00:00.0,5525.43,5525.54,5457.43,5459.45,23.25,259.22,-1.48,2.2400,31.8400,2.1500,18.44,3.7700,12320.11,51.77,1.20
801880,汽车,2022-11-24 00:00:00.0,5566.86,5593.61,5527.39,5541.39,25.14,283.65,-0.21,2.4300,32.3100,2.1800,18.81,4.1100,12501.37,52.53,1.18
801880,汽车,2022-11-23 00:00:00.0,5551.68,5568.79,5479.91,5553.12,27.52,307.16,-0.06,2.6500,32.3700,2.1900,18.83,4.0200,12527.64,52.64,1.29
801880,汽车,2022-11-22 00:00:00.0,5620.94,5629.84,5545.03,5556.66,27.19,319.88,-1.18,2.6200,32.3900,2.1900,18.86,3.9100,12535.61,52.67,1.29
801880,汽车,2022-11-21 00:00:00.0,5541.61,5623.09,5494.48,5623.09,27.7,328.4,0.89,2.6600,32.3700,2.1800,19.19,4.1900,12752.8,53.58,1.27
801880,汽车,2022-11-18 00:00:00.0,5640.87,5655.79,5570.80,5573.52,28.12,322.94,-1.10,2.7000,32.0800,2.1600,18.96,3.5700,12640.16,53.11,1.28
801880,汽车,2022-11-17 00:00:00.0,5692.90,5692.90,5579.75,5635.64,31.95,352.39,-1.46,3.0500,32.5400,2.1800,19.17,4.1900,12820.11,53.87,1.26
801880,汽车,2022-11-16 00:00:00.0,5782.18,5800.44,5701.94,5718.92,31.28,352.34,-1.19,2.9900,33.0300,2.2200,19.39,4.0400,13009.56,54.66,1.24
801880,汽车,2022-11-15 00:00:00.0,5657.52,5787.81,5640.72,5787.81,32.44,377.37,2.16,3.1000,33.4200,2.2400,19.56,3.8700,13162.47,55.3,1.23
801880,汽车,2022-11-14 00:00:00.0,5754.24,5790.47,5644.92,5665.47,33.28,362.43,-1.70,3.1800,32.7200,2.2000,19.06,3.6400,12884.26,54.14,1.26
801880,汽车,2022-11-11 00:00:00.0,5861.93,5873.94,5748.66,5763.34,44.3,464.55,0.94,4.2300,33.2800,2.2300,19.41,4.1000,13103.36,55.06,1.23
801880,汽车,2022-11-10 00:00:00.0,5749.73,5749.80,5678.27,5709.48,30.53,368.75,-1.39,2.9200,32.9600,2.2100,19.37,4.7900,12980.5,54.54,1.25
801880,汽车,2022-11-09 00:00:00.0,5855.11,5869.95,5785.76,5790.01,27.11,330.53,-0.91,2.5900,33.4300,2.2400,19.73,4.6100,13161.99,55.3,1.23
