指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801030,基础化工,2023-01-06 00:00:00.0,4131.12,4205.90,4131.12,4182.69,32.46,422.65,1.20,2.4200,14.5600,2.3200,17.92,5.4200,16232.43,47.32,1.66
801030,基础化工,2023-01-05 00:00:00.0,4111.38,4142.36,4103.25,4133.23,23.97,310.3,0.74,1.7900,14.3700,2.2900,17.68,3.9300,16038.48,46.76,1.68
801030,基础化工,2023-01-04 00:00:00.0,4107.69,4118.33,4083.64,4103.00,23.71,302.8,-0.15,1.7700,14.2700,2.2700,17.51,4.1400,15923.18,46.42,1.69
801030,基础化工,2023-01-03 00:00:00.0,4050.65,4114.56,4038.07,4109.20,25.2,318.19,1.43,1.8800,14.2900,2.2700,17.54,4.3300,15945.59,46.49,1.69
801030,基础化工,2022-12-30 00:00:00.0,4065.88,4076.64,4045.75,4051.36,19.51,254.39,0.03,1.4500,14.0900,2.2400,17.16,4.5000,15722.27,45.84,1.71
801030,基础化工,2022-12-29 00:00:00.0,4045.46,4075.80,4042.73,4050.19,18.76,240.53,-0.20,1.4000,14.0800,2.2400,17.13,4.1900,15687.69,45.74,1.71
801030,基础化工,2022-12-28 00:00:00.0,4096.27,4096.36,4054.35,4058.50,20.83,257.98,-1.17,1.5600,14.1100,2.2400,17.10,4.2400,15720.7,45.83,1.71
801030,基础化工,2022-12-27 00:00:00.0,4079.75,4107.93,4064.22,4106.50,22.72,290.53,1.02,1.7000,14.2700,2.2700,17.34,4.6800,15906.46,46.37,1.69
801030,基础化工,2022-12-26 00:00:00.0,3991.17,4068.52,3990.96,4065.11,19.48,253.12,1.99,1.4600,14.1300,2.2500,17.18,4.3700,15744.75,45.9,1.69
801030,基础化工,2022-12-23 00:00:00.0,4019.35,4030.75,3963.44,3985.71,20.54,262.42,-1.21,1.5400,13.8500,2.2000,16.74,4.8200,15436.89,45.01,1.73
801030,基础化工,2022-12-22 00:00:00.0,4144.08,4144.08,4022.26,4034.55,26.3,330.54,-2.27,1.9700,14.0200,2.2300,16.97,5.3300,15624.84,45.55,1.70
801030,基础化工,2022-12-21 00:00:00.0,4130.17,4156.98,4104.78,4128.37,21.65,277.03,0.06,1.6200,14.3400,2.2800,17.42,5.1500,16010.14,46.68,1.66
801030,基础化工,2022-12-20 00:00:00.0,4142.77,4153.82,4112.85,4125.91,20.08,251.99,-0.68,1.5000,14.3300,2.2800,17.48,4.1900,16000.95,46.65,1.66
801030,基础化工,2022-12-19 00:00:00.0,4221.66,4238.63,4141.72,4154.28,28.42,336.93,-1.65,2.1200,14.4300,2.3000,17.51,4.7400,16106.99,46.96,1.65
801030,基础化工,2022-12-16 00:00:00.0,4247.66,4257.84,4207.47,4224.07,28.03,365.95,-0.96,2.1000,14.6700,2.3300,17.84,5.1500,16356.26,47.69,1.63
801030,基础化工,2022-12-15 00:00:00.0,4261.28,4269.96,4232.43,4264.83,22.23,299.57,0.00,1.6600,14.8100,2.3600,18.18,4.1800,16507.68,48.13,1.61
801030,基础化工,2022-12-14 00:00:00.0,4268.78,4285.54,4254.67,4264.63,24.78,321.8,-0.14,1.8500,14.7800,2.3500,18.08,4.2800,16494.63,48.23,1.61
801030,基础化工,2022-12-13 00:00:00.0,4301.95,4304.45,4266.84,4270.41,26.88,354.68,-0.74,2.0100,14.7900,2.3500,18.11,4.6500,16514.1,48.29,1.61
801030,基础化工,2022-12-12 00:00:00.0,4360.48,4360.62,4300.92,4302.10,34.84,435.5,-1.57,2.6200,14.8600,2.3700,18.33,5.1600,16589.81,48.65,1.60
801030,基础化工,2022-12-09 00:00:00.0,4345.77,4374.53,4329.22,4370.62,39.12,503.1,0.70,2.9300,15.1200,2.4000,18.47,5.4200,16870.83,49.33,1.57
801030,基础化工,2022-12-08 00:00:00.0,4321.20,4375.73,4300.19,4340.14,35.27,461.03,0.26,2.6400,15.0100,2.3900,18.46,5.6700,16752,48.98,1.58
801030,基础化工,2022-12-07 00:00:00.0,4341.64,4370.76,4315.29,4328.90,33.07,448.51,-0.53,2.4800,14.9700,2.3800,18.41,5.0300,16708.61,48.86,1.59
801030,基础化工,2022-12-06 00:00:00.0,4306.31,4351.75,4284.83,4351.75,34.77,479.08,0.84,2.6100,15.0600,2.3900,18.46,5.1300,16796.25,49.11,1.58
801030,基础化工,2022-12-05 00:00:00.0,4313.03,4315.44,4289.24,4315.44,34.73,432.55,0.57,2.6000,14.9300,2.3700,18.34,4.3800,16655.26,48.7,1.59
801030,基础化工,2022-12-02 00:00:00.0,4273.51,4295.57,4266.81,4290.87,28.69,385.2,0.32,2.1500,14.8400,2.3600,18.32,4.8000,16560.66,48.42,1.60
801030,基础化工,2022-12-01 00:00:00.0,4261.49,4296.00,4261.27,4277.24,31.15,416.39,0.98,2.3400,14.7900,2.3500,18.20,4.2100,16485.81,48.2,1.61
801030,基础化工,2022-11-30 00:00:00.0,4231.03,4256.45,4217.82,4235.88,30.85,403.39,-0.02,2.3200,14.6500,2.3300,17.96,4.6400,16326.38,47.74,1.63
801030,基础化工,2022-11-29 00:00:00.0,4173.48,4238.40,4173.43,4236.76,31.58,401.27,1.72,2.3700,14.6500,2.3300,17.98,4.4300,16331.49,47.75,1.62
801030,基础化工,2022-11-28 00:00:00.0,4138.27,4173.43,4106.82,4165.22,27.57,359.02,-0.65,2.0700,14.4100,2.2900,17.78,5.0900,16043.34,46.91,1.65
